Id,SalePrice,Mo Sold,Yr Sold,Overall Qual,Overall Cond,Gr Liv Area,Garage Area,Garage Cars,Total Bsmt SF,1st Flr SF,Year Built,Year Remod/Add,Mas Vnr Area,Full Bath,Garage Yr Blt,Bedroom AbvGr,Mas Vnr Area,TotRms AbvGrd,Fireplaces,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Lot Frontage,Open Porch SF,Wood Deck SF,Fence,Pool Area,MS Zoning,Alley,Central Air,Low Qual Fin SF,Exter Qual,Exter Cond,Bsmt Qual,BsmtFin Type 1,BsmtFin Type 2,Heating QC,Kitchen Qual,Fireplace Qu,fine_neighbour,fine_garage_type,mv,garage_finish,zone1,zone2,Grvl,Pave,VinylSd1,VinylSd2,Pconc,reg_lot,np_bsmt_expo,sale_new,bsmtscore,garagescore
109,130500,3,2010,6,8,1479,475.0,2.0,725.0,725,1976,2005,289.0,2,1976.0,3,289.0,6,0,533.0,0.0,192.0,0.0,44,0,0,0,RL,0,0,0,4,3,3,5.0,0.5,5,4,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2761.0,356.25
544,220000,4,2009,7,5,2122,559.0,2.0,913.0,913,1996,1997,132.0,2,1997.0,4,132.0,8,1,637.0,0.0,276.0,43.0,74,0,0,0,RL,0,0,0,4,3,4,5.0,0.5,5,4,3,0,1,1,0,1,0,0,0,1,1,1,0,1,0,3323.0,419.25
153,109000,1,2010,5,7,1057,246.0,1.0,1057.0,1057,1953,2007,0.0,1,1953.0,3,0.0,5,0,731.0,0.0,326.0,68.0,52,0,0,0,RL,0,0,0,3,4,3,5.0,0.5,3,4,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,3818.0,123.0
318,174000,4,2010,5,5,1444,400.0,2.0,384.0,744,2006,2007,0.0,2,2007.0,3,0.0,7,0,0.0,0.0,384.0,73.0,0,100,0,0,RL,0,0,0,3,3,4,0.5,0.5,4,3,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,192.0,400.0
255,138500,3,2010,6,8,1445,484.0,2.0,676.0,831,1900,1993,0.0,2,1957.0,3,0.0,6,0,0.0,0.0,676.0,82.0,59,0,0,0,RL,0,0,0,3,3,2,0.5,0.5,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,338.0,242.0
138,190000,6,2010,6,6,1888,578.0,2.0,1517.0,1888,1966,2002,0.0,2,1966.0,2,0.0,6,1,247.0,713.0,557.0,137.0,0,0,0,0,RL,0,0,0,4,3,3,4.0,2.0,5,4,4,0,1,0,1,1,0,0,0,1,0,0,0,1,0,2692.5,578.0
2827,140000,6,2006,6,5,1072,525.0,2.0,547.0,1072,2005,2006,82.0,2,2005.0,2,82.0,5,0,547.0,0.0,0.0,35.0,44,0,0,0,RM,0,0,0,3,3,4,5.0,0.5,4,3,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,2735.0,525.0
145,142000,5,2010,5,5,1188,531.0,2.0,1188.0,1188,1959,1959,180.0,1,1959.0,3,180.0,6,0,1000.0,0.0,188.0,0.0,0,0,1,0,RL,0,0,0,3,3,3,2.0,0.5,2,3,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2094.0,398.25
1942,112500,6,2007,5,5,924,420.0,1.0,924.0,924,1952,1952,0.0,1,1952.0,2,0.0,6,0,292.0,0.0,632.0,0.0,324,0,1,0,RL,0,0,0,3,3,3,2.0,0.5,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,900.0,210.0
1956,135000,9,2007,5,5,2080,504.0,2.0,1040.0,1040,1969,1969,192.0,1,1969.0,5,192.0,9,2,650.0,0.0,390.0,70.0,0,335,0,0,RL,0,0,0,3,3,4,2.0,0.5,3,2,3,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1495.0,252.0
